Period,Unnamed: 4,Használt lakás vásárlás,Új lakás vásárlás,Új lakás építés,Felújítás és egyéb,Támogatott hitelek aránya a lakáshiteleken belül (jobb skála)
Jan 2018,2018. jan,41.47997,5.276017,5.326737,5.316523999999999,10.464227917529364
Feb,feb,38.77326,4.760465,4.548291,5.214843999999999,10.035457695124189
Mar,már,44.94614,4.38683,5.056746,5.937772000000001,9.520385173721143
Apr,ápr,51.27866,4.937243,5.277817,6.966149,8.660077305758234
May,máj,58.15707,5.717367,6.378372,7.238303,8.186640922887749
Jun,jún,62.3794,6.11196,8.736868,7.980423,7.30839288494346
Jul,júl,61.4805,6.004026,7.819594,7.307092000000001,6.212476634319934
Aug,aug,60.16013,6.735938,7.3851,6.790959,5.943832028713667
Sept,szept,55.87289,7.630781,8.129584,6.765696,6.298989883580536
Oct,okt,57.59172,6.150225,7.956484,6.728064,5.343387940543374
Nov,nov,51.61646,6.819028,6.386115,5.888735,4.86792581172087
Dec,dec,41.48203,5.246975,4.892165,5.240558999999999,4.183003298156372
Jan 2019,2019. jan,45.63565,6.902963,5.575054,5.012503000000001,10.80195570447162
Feb,feb,43.74931,8.124137,6.048153,4.666155,13.626894248381562
Mar,már,53.18066,8.854959,8.711592,5.591799,9.745348797911449
Apr,ápr,60.37908,8.366527,9.557381,6.095961,7.790815817595512
May,máj,60.72673,7.877365,10.03732,7.169741,8.64847868451818
Jun,jún,56.18237,7.841833,10.66849,6.794344,8.959397451749195
Jul,júl,53.42377,7.306421,10.2592,6.837993,8.623153410805834
Aug,aug,48.82563,7.313932,6.741032,5.144325,15.593495769927928
Sept,szept,54.7476,8.131424,7.678321,4.664116,18.26216179400022
Oct,okt,57.1797,9.168658,9.298222,5.506686,17.63267782162829
Nov,nov,51.0012,10.57386,7.45543,5.070349,19.71768473229148
Dec,dec,47.83272,15.35182,7.825582,6.042181,19.168370960917656
Jan 2020,2020. jan,51.06718,9.890857,11.9063,6.204977,21.210216539482747
Feb,feb,50.96356,7.897067,8.731983,6.6360980000000005,18.346398094728663
Mar,már,62.67962,10.26971,6.484845,6.538647,15.980029717694958
Apr,ápr,52.26828,8.089478,5.874878,6.316464,15.832913609182938
May,máj,40.70372,9.455369,5.380661,6.322919000000001,16.22964331875239
Jun,jún,45.52982,8.679069,5.451989,7.373603,16.777137704554306
Jul,júl,56.55747,8.866862,5.632618,6.958095,14.452089710992825
Aug,aug,51.21539,7.763758,4.825441,6.759418,14.527840572519937
Sept,szept,69.64087,9.731841,5.926257,6.714742,15.406471539422949
Oct,okt,61.18848,7.76256,5.566608,6.867235,14.975569648053364
Nov,nov,63.25999,9.242393,5.560207,5.424496,13.715678793785765
Dec,dec,51.94151,8.454466,4.854694,5.9774460000000005,12.487007584828712
Jan 2021,2021. jan,43.7762,5.666814,3.427989,5.862367000000001,10.49091444874092
Feb,feb,54.48922,5.473784,3.568128,5.197163,14.57072271044028
Mar,már,76.56994,11.70194,6.544842,9.639533,18.117858085177183
Apr,ápr,72.77646,12.17013,7.542311,14.830506000000002,19.557461955900237
May,máj,81.68631,12.36111,8.935479,17.367733,20.81954768793246
Jun,jún,93.46524,13.13399,11.46527,18.367023,20.239297907757084
Jul,júl,91.85352,12.9066,12.00593,15.578644,19.527298310202283
Aug,aug,82.34694,11.97445,9.398277,14.363698,18.973494073887355
Sept,szept,88.88085,13.85297,11.18169,14.315952,18.83121459964397
Oct,okt,76.92986,11.58022,7.321845,12.239393,17.710651114840562
Nov,nov,74.67962,14.17878,12.94275,9.724952,26.538763954153197
Dec,dec,68.22758,13.92355,14.75289,8.271311,31.4145963959232
Jan 2022,2022. jan,66.24182,16.51355,17.09727,8.153051,36.02486905745669
Feb,feb,60.28063,17.80494,16.16676,8.807004,38.31184769347162
Mar,már,69.24601,32.65939,22.10353,9.985833,47.30689525583314
Apr,ápr,63.26379,39.89093,27.46609,12.286574,52.53250724863139
May,máj,75.93531,37.55469,24.50316,14.097972,48.12602171475008
Jun,jún,76.68231,22.08746,14.16814,13.006707,35.487794962231064
Jul,júl,57.45405,12.25634,10.49391,10.160317,30.615912797199407
Aug,aug,58.66023,14.18045,11.79059,10.676805,29.368560005537297
Sept,szept,45.77013,13.56449,10.11073,11.819947,31.91747339495374
Oct,okt,37.83961,6.788585,5.258899,9.319168,26.164946567439635
Nov,nov,31.58271,5.67443,4.680954,7.274602999999999,26.818856543885666
Dec,dec,27.05713,5.100865,3.317394,5.525850999999999,27.743096319007865
Jan 2023,2023. jan,26.938656892363724,5.1228019700502045,4.724096947800717,3.383804003657133,27.992959939858224
Feb,feb,22.190627921721894,3.649421956331935,3.900233984692022,3.017739011949743,21.68139662353708
Mar,már,30.028173892387716,4.19057496933965,3.2883619788917717,3.6149010052977246,20.717205827744927
Apr,ápr,29.72348789802345,3.148116983938962,2.2122519848053344,3.413835018815007,20.287776924100108
May,máj,37.95312687658589,3.77234496671008,3.2077669544378296,3.5823840102784743,20.13187556166415
Jun,jún,41.82882884464925,4.174409979954362,2.9737569867866114,3.818735996406758,19.357918632780365
Jul,júl,39.9189748560857,3.9828869663761,2.7079539732076228,3.31712000798143,20.6125904639222
Aug,aug,43.276710871985415,4.608221965958364,3.115268985158764,3.292294006671,19.521284913938235
Sept,szept,39.897132843063446,4.945035977347288,3.4953619875595905,2.923691007152229,22.444365118840224
Oct,okt,39.88690984227287,4.775649963121396,3.708953964989632,3.060904005018529,23.18418087941169
Nov,nov,52.32241681215237,7.417305958806537,4.1208249746705405,2.963767006760463,21.00161112244722
Dec,dec,48.17461481271312,7.998420951364096,4.021344976557884,3.0730829941749107,21.22523479945146
Jan 2024,2024. jan,58.03789582214085,13.18809993157629,7.530127919395454,3.1482520028366707,23.378144897707077
Feb,feb,59.52739386461326,13.310358926653862,8.30231191945495,3.960767995100469,24.59006572639426
Mar,már,76.04525673750322,11.224697940109763,5.400820948823821,5.102132997388253,29.1734674110434
Apr,ápr,97.67167871037964,9.755670959712006,6.551947956177173,7.146006003807997,29.995194689635028
May,máj,102.61559171484951,11.41324800637085,7.818696970469318,7.505143991889781,26.65591038131327
Jun,jún,100.89825976715656,10.502189956838263,7.954494939767756,7.937058016806986,25.56636864663875
Jul,júl,107.68528877047356,11.557843971415425,8.57732594764093,8.956935982452706,25.237838270861605
Aug,aug,84.91762781678699,8.874626999142492,7.24073997605592,8.13586001310614,25.24795441332884
Sept,szept,88.47963584389072,9.344630991836311,8.917607980547473,7.167328990064561,25.070028390789723
Oct,okt,90.9811468294065,12.300918953376822,7.4098159722052515,7.362427990301512,24.176641938768327
Nov,nov,87.50645882962272,11.566189984441737,7.808742970926687,5.976313996150566,24.1308092684124
Dec,dec,92.81255383574172,11.593565962510183,5.976929980330169,6.239858010405442,21.51139190928944
Jan 2025,2025. jan,99.38957475732332,13.381832937709987,6.231130974541884,5.789671001650277,21.172897549860465
Feb,feb,93.8006408305664,13.768434946192428,6.477529970376054,5.978662002093188,19.77943160938253
Mar,már,105.0064358390373,16.266650964622386,8.307724947080715,7.805039000522811,19.31461759360952
Apr,ápr,101.13081476934894,17.573322977870703,7.188534977995005,7.965550008015271,19.799773330270888
May,máj,114.33271970969508,16.3940849454375,8.27411797188688,9.528756998101017,20.658211050828
Jun,jún,109.89089283665815,13.8659888721304,9.837669964530503,9.947789009103872,20.58950449924552
Jul,júl,110.36466877437488,12.159415975795127,8.672450977377594,10.499463030340848,21.41457626396936
Aug,aug,79.5748748217593,10.356680973723996,6.711923954309896,8.80148300001747,22.699400860440992
